Fold,algorithm,init,max_iter,n_clusters,n_init,random_state,N_Clusters,Ruido_%,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inercia,Min_Cluster_%
4,lloyd,random,300,6,20,42,6,0.0,0.1609,1.8136,340.1658,5202.09,10.16
5,lloyd,random,300,6,20,42,6,0.0,0.1575,1.8843,339.3078,5235.0615,10.37
1,lloyd,random,500,3,10,42,3,0.0,0.2194,1.586,547.2395,6431.563,30.09
2,lloyd,random,500,3,10,42,3,0.0,0.2105,1.6391,527.1316,6441.8946,30.38
3,lloyd,random,500,3,10,42,3,0.0,0.2115,1.6281,528.338,6476.7782,29.45
4,lloyd,random,500,3,10,42,3,0.0,0.2166,1.6125,558.9058,6391.0997,29.55
5,lloyd,random,500,3,10,42,3,0.0,0.2217,1.5994,573.9407,6350.0895,31.96
1,lloyd,random,500,3,20,42,3,0.0,0.2194,1.586,547.2395,6431.563,30.09
2,lloyd,random,500,3,20,42,3,0.0,0.2105,1.6391,527.1316,6441.8946,30.38
3,lloyd,random,500,3,20,42,3,0.0,0.2115,1.6273,528.3125,6476.678,29.31
4,lloyd,random,500,3,20,42,3,0.0,0.2166,1.6125,558.9058,6391.0997,29.55
5,lloyd,random,500,3,20,42,3,0.0,0.2217,1.5994,573.9407,6350.0895,31.96
1,lloyd,random,500,4,10,42,4,0.0,0.1907,1.6117,431.2501,5958.1588,14.83
2,lloyd,random,500,4,10,42,4,0.0,0.1862,1.6572,414.0849,5988.2133,13.41
3,lloyd,random,500,4,10,42,4,0.0,0.1802,1.7199,405.7976,6084.8343,13.77
4,lloyd,random,500,4,10,42,4,0.0,0.1761,1.9464,431.2896,5975.7458,18.75
5,lloyd,random,500,4,10,42,4,0.0,0.1782,1.9417,444.0444,5924.4258,20.45
1,lloyd,random,500,4,20,42,4,0.0,0.1907,1.6117,431.2501,5958.1588,14.83
2,lloyd,random,500,4,20,42,4,0.0,0.1862,1.6572,414.0849,5988.2133,13.41
3,lloyd,random,500,4,20,42,4,0.0,0.1802,1.7199,405.7976,6084.8343,13.77
